project_name,date,active_addresses_aggregation_daily,active_addresses_aggregation_monthly,active_addresses_aggregation_over_30_day_window,active_contracts_daily,active_contracts_monthly,active_contracts_weekly,active_developers_daily,active_developers_weekly,closed_issues_daily,closed_issues_monthly,closed_issues_weekly,comments_daily,comments_weekly,commits_daily,commits_weekly,contributors_daily,contributors_weekly,forks_daily,forks_weekly,gas_fees_daily,gas_fees_monthly,gas_fees_over_180_day_window,gas_fees_over_30_day_window,gas_fees_over_90_day_window,gas_fees_weekly,merged_pull_requests_daily,merged_pull_requests_monthly,merged_pull_requests_weekly,opened_issues_daily,opened_issues_monthly,opened_issues_weekly,opened_pull_requests_daily,opened_pull_requests_monthly,opened_pull_requests_weekly,releases_daily,releases_weekly,repositories_daily,repositories_weekly,stars_daily,stars_weekly,transactions_daily,transactions_monthly,transactions_over_180_day_window,transactions_weekly
0x02065e72fe4eebfa1ebca19238e6147c8571c2b7fefae4e86e62ce768edceeb9,2023-05-22,,,,,,,,,,,,,,,,,,,,6.91337102e-05,,,,,0.0036084586604729,,,,,,,,,,,,,,,,107.0,,,7071.0
0x02065e72fe4eebfa1ebca19238e6147c8571c2b7fefae4e86e62ce768edceeb9,2023-05-23,,,,,,,,,,,,,,,,,,,,0.000914003828848,,,,,,,,,,,,,,,,,,,,,2128.0,,,
0x02065e72fe4eebfa1ebca19238e6147c8571c2b7fefae4e86e62ce768edceeb9,2023-05-24,,,,,,,,,,,,,,,,,,,,0.0005770478429867,,,,,,,,,,,,,,,,,,,,,1311.0,,,
0x02065e72fe4eebfa1ebca19238e6147c8571c2b7fefae4e86e62ce768edceeb9,2023-05-25,,,,,,,,,,,,,,,,,,,,0.0009646615494572,,,,,,,,,,,,,,,,,,,,,1119.0,,,
0x02065e72fe4eebfa1ebca19238e6147c8571c2b7fefae4e86e62ce768edceeb9,2023-05-26,,,,,,,,,,,,,,,,,,,,0.0004903607228255,,,,,,,,,,,,,,,,,,,,,1103.0,,,
0x02065e72fe4eebfa1ebca19238e6147c8571c2b7fefae4e86e62ce768edceeb9,2023-05-27,,,,,,,,,,,,,,,,,,,,0.000515256077684,,,,,,,,,,,,,,,,,,,,,1156.0,,,
0x02065e72fe4eebfa1ebca19238e6147c8571c2b7fefae4e86e62ce768edceeb9,2023-05-28,,,,,,,,,,,,,,,,,,,,7.799492847125e-05,,,,,,,,,,,,,,,,,,,,,147.0,,,
0x02065e72fe4eebfa1ebca19238e6147c8571c2b7fefae4e86e62ce768edceeb9,2023-05-29,,,,,,,,,,,,,,,,,,,,0.0001159278900794,,,,,0.0039897313486436,,,,,,,,,,,,,,,,224.0,,,7036.0
0x02065e72fe4eebfa1ebca19238e6147c8571c2b7fefae4e86e62ce768edceeb9,2023-05-30,,,,,,,,,,,,,,,,,,,,0.0009082899922576,,,,,,,,,,,,,,,,,,,,,2071.0,,,
0x02065e72fe4eebfa1ebca19238e6147c8571c2b7fefae4e86e62ce768edceeb9,2023-05-31,,,,,,,,,,,,,,,,,,,,0.0013890642114344,,,,,,,,,,,,,,,,,,,,,1344.0,,,
0x02065e72fe4eebfa1ebca19238e6147c8571c2b7fefae4e86e62ce768edceeb9,2023-06-01,,,,,,,,,,,,,,,,,,,,0.00047602429631,0.1648545727684344,,,,,,,,,,,,,,,,,,,,897.0,23590.0,,
0x02065e72fe4eebfa1ebca19238e6147c8571c2b7fefae4e86e62ce768edceeb9,2023-06-02,,,,,,,,,,,,,,,,,,,,0.000446200199932,,,,,,,,,,,,,,,,,,,,,966.0,,,
0x02065e72fe4eebfa1ebca19238e6147c8571c2b7fefae4e86e62ce768edceeb9,2023-06-03,,,,,,,,,,,,,,,,,,,,0.0004574937972,,,,,,,,,,,,,,,,,,,,,1086.0,,,
0x02065e72fe4eebfa1ebca19238e6147c8571c2b7fefae4e86e62ce768edceeb9,2023-06-04,,,,,,,,,,,,,,,,,,,,0.00019673096143,,,,,,,,,,,,,,,,,,,,,448.0,,,
0x02065e72fe4eebfa1ebca19238e6147c8571c2b7fefae4e86e62ce768edceeb9,2023-06-05,,,,,,,,,,,,,,,,,,,,8.400556468798502e-05,,,,,0.0934001985948095,,,,,,,,,,,,,,,,176.0,,,10116.0
0x02065e72fe4eebfa1ebca19238e6147c8571c2b7fefae4e86e62ce768edceeb9,2023-06-06,,,,,,,,,,,,,,,,,,,,0.0038222790955358,,,,,,,,,,,,,,,,,,,,,1326.0,,,
0x02065e72fe4eebfa1ebca19238e6147c8571c2b7fefae4e86e62ce768edceeb9,2023-06-07,,,,,,,,,,,,,,,,,,,,0.0735178794545359,,,,,,,,,,,,,,,,,,,,,5362.0,,,
0x02065e72fe4eebfa1ebca19238e6147c8571c2b7fefae4e86e62ce768edceeb9,2023-06-08,,,,,,,,,,,,,,,,,,,,0.0065681770641942,,,,,,,,,,,,,,,,,,,,,2650.0,,,
0x02065e72fe4eebfa1ebca19238e6147c8571c2b7fefae4e86e62ce768edceeb9,2023-06-09,,,,,,,,,,,,,,,,,,,,0.0002461384176151,,,,,,,,,,,,,,,,,,,,,263.0,,,
0x02065e72fe4eebfa1ebca19238e6147c8571c2b7fefae4e86e62ce768edceeb9,2023-06-10,,,,,,,,,,,,,,,,,,,,0.0090497396208024,,,,,,,,,,,,,,,,,,,,,181.0,,,
0x02065e72fe4eebfa1ebca19238e6147c8571c2b7fefae4e86e62ce768edceeb9,2023-06-11,,,,,,,,,,,,,,,,,,,,0.0001119793774379,,,,,,,,,,,,,,,,,,,,,158.0,,,
0x02065e72fe4eebfa1ebca19238e6147c8571c2b7fefae4e86e62ce768edceeb9,2023-06-12,,,,,,,,,,,,,,,,,,,,0.0011699106151819,,,,,0.0563392706830294,,,,,,,,,,,,,,,,165.0,,,6132.0
0x02065e72fe4eebfa1ebca19238e6147c8571c2b7fefae4e86e62ce768edceeb9,2023-06-13,,,,,,,,,,,,,,,,,,,,0.0241571112099175,,,,,,,,,,,,,,,,,,,,,2208.0,,,
0x02065e72fe4eebfa1ebca19238e6147c8571c2b7fefae4e86e62ce768edceeb9,2023-06-14,,,,,,,,,,,,,,,,,,,,0.0126467278629823,,,,,,,,,,,,,,,,,,,,,1116.0,,,
0x02065e72fe4eebfa1ebca19238e6147c8571c2b7fefae4e86e62ce768edceeb9,2023-06-15,,,,,,,,,,,,,,,,,,,,0.0110133096562547,,,,,,,,,,,,,,,,,,,,,571.0,,,
